Gov body,Time of day,Frequency,Livestream,Link to board agenda site,Link to board home page,Notes,County,parseable,agenda-location,agenda-format
Suring School Board,5:30 p.m.,2nd Wednesday,,https://suringk12.community.highbond.com/Portal/MeetingInformation.aspx?Org=Cal&Id=112,https://www.suring.k12.wi.us/district/boardmembers.cfm,,Oconto,,,
Gillett School Board,6:30 p.m.,3rd Wednesday,,https://gillett.community.highbond.com/Portal/MeetingInformation.aspx?Id=314,https://gillett.community.highbond.com/portal/members.aspx?id=10,,Oconto,,,
Oconto Falls School Board,6:30 p.m.,3rd Monday ?,Yes - on YouTube,https://www.ofpanthers.com/district/board.cfm,https://www.ofpanthers.com/district/board.cfm,They only post 1 agenda at a time. Minutes are not up-to-date,Oconto,,,
Pulaski School Board,6 p.m.,1st and 3rd Wednesdays,Yes - on YouTube,https://www.pulaskischools.org/boe/meetings-agendas,https://www.pulaskischools.org/boe,,Oconto,,,
Oconto School Board,6 p.m.,3rd Monday,,https://oconto.k12.wi.us/en-US/about-the-board-3ac47b5c/meeting-minutes-agendas-745ab294,https://oconto.k12.wi.us/en-US/about-the-board-3ac47b5c,,Oconto,,,
Lena School Board,7:30 p.m.,3rd Monday,,https://www.lena.k12.wi.us/documents/board-of-education/board-agendas/22008294,https://www.lena.k12.wi.us/page/board-or-education,They haven't posted an agenda since January,Oconto,,,
Crivitz School Board,6 p.m.,3rd Wednesday,,https://www.crivitz.k12.wi.us/board-of-education/agendas/2025-26-board-agendas,https://www.crivitz.k12.wi.us/board-of-education/board-members,Audio available after the fact,Oconto,,,
Shawano County Board,3 p.m.,4th Wednesday,,https://coshawanowi.civicweb.net/Portal/MeetingInformation.aspx?Id=19333,https://coshawanowi.civicweb.net/portal/members.aspx?id=16,,Shawano,,,
Almon Town Board,5 or 7 p.m.,2nd Monday,,,,I couldn't find a website online,Shawano,,,
Anglelica Town Board,6:30 p.m.,2nd Monday,,http://www.townofangelica.com/town-board-meetings.html,http://www.townofangelica.com/directory.html,,Shawano,,,
